id_wikidata,material,grade
Q373342,Música,scuola media italiana
Q483866,Educación Física y Salud,scuola media italiana
Q3043188,Ciencias naturales,scuola media italiana
Q391956,Tecnología,scuola media italiana
Q686980,Ciencias naturales,scuola media italiana
Q2826051,Ciencias naturales,scuola media italiana
Q764,Ciencias naturales,scuola media italiana
Q2424752,Tecnología,scuola media italiana
Q2424752,Tecnología,scuola media italiana
Q2424752,Tecnología,scuola media italiana
Q2424752,Tecnología,scuola media italiana
Q82480,Ciencias naturales,scuola media italiana
Q2112558,Tecnología,scuola media italiana
Q83864,Ciencias naturales,scuola media italiana
Q83944,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q1663717,Ciencias naturales,scuola media italiana
Q12705,Tecnología,scuola media italiana
Q478798,Tecnología,scuola media italiana
Q1900281,Artes Visuales,scuola media italiana
Q1900281,Tecnología,scuola media italiana
Q1900281,Tecnología,scuola media italiana
Q1900281,Tecnología,scuola media italiana
Q2364107,Tecnología,scuola media italiana
Q2713770,Artes Visuales,scuola media italiana
Q647578,Tecnología,scuola media italiana
Q3062469,Matemática,scuola media italiana
Q287,Tecnología,scuola media italiana
Q545981,Artes Visuales,scuola media italiana
Q493615,Tecnología,scuola media italiana
Q2578402,Tecnología,scuola media italiana
Q2578402,Tecnología,scuola media italiana
Q2578402,Tecnología,scuola media italiana
Q2578402,Tecnología,scuola media italiana
Q808,Ciencias naturales,scuola media italiana
Q694975,Tecnología,scuola media italiana
Q484275,Tecnología,scuola media italiana
Q101017,Ciencias naturales,scuola media italiana
Q2186896,Tecnología,scuola media italiana
Q2416019,Tecnología,scuola media italiana
Q82604,Tecnología,scuola media italiana
Q82604,Tecnología,scuola media italiana
Q82604,Tecnología,scuola media italiana
Q604733,Tecnología,scuola media italiana
Q604733,Tecnología,scuola media italiana
Q604733,Tecnología,scuola media italiana
Q604733,Tecnología,scuola media italiana
Q604733,Tecnología,scuola media italiana
Q604733,Tecnología,scuola media italiana
Q1662468,Tecnología,scuola media italiana
Q1779895,Tecnología,scuola media italiana
Q1779895,Tecnología,scuola media italiana
Q74560,Ciencias naturales,scuola media italiana
Q1659648,Artes Visuales,scuola media italiana
Q1455316,Ciencias naturales,scuola media italiana
Q66055,Matemática,scuola media italiana
Q2695280,Tecnología,scuola media italiana
Q2695280,Tecnología,scuola media italiana
Q2695280,Tecnología,scuola media italiana
Q2695280,Tecnología,scuola media italiana
Q2695280,Tecnología,scuola media italiana
Q2695280,Tecnología,scuola media italiana
Q2695280,Tecnología,scuola media italiana
Q1627586,Matemática,scuola media italiana
Q83093,Ciencias naturales,scuola media italiana
Q615445,Tecnología,scuola media italiana
Q93184,Artes Visuales,scuola media italiana
Q1750631,Tecnología,scuola media italiana
Q1750631,Tecnología,scuola media italiana
Q1750631,Tecnología,scuola media italiana
Q81809,Ciencias naturales,scuola media italiana
Q93184,Tecnología,scuola media italiana
Q82642,Ciencias naturales,scuola media italiana
Q1469997,Tecnología,scuola media italiana
Q719375,Matemática,scuola media italiana
Q2022868,Tecnología,scuola media italiana
Q2022868,Tecnología,scuola media italiana
Q2115026,Tecnología,scuola media italiana
Q2115026,Tecnología,scuola media italiana
Q2115026,Tecnología,scuola media italiana
Q2115026,Tecnología,scuola media italiana
Q2115026,Tecnología,scuola media italiana
Q79757,Ciencias naturales,scuola media italiana
Q1483324,Artes Visuales,scuola media italiana
Q76469,Ciencias naturales,scuola media italiana
Q12544,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q4184,Artes Visuales,scuola media italiana
Q389782,Tecnología,scuola media italiana
Q1756507,Tecnología,scuola media italiana
Q1756507,Tecnología,scuola media italiana
Q68,Tecnología,scuola media italiana
Q75,Tecnología,scuola media italiana
Q75,Tecnología,scuola media italiana
Q75,Tecnología,scuola media italiana
Q1074,Ciencias naturales,scuola media italiana
Q1762403,Tecnología,scuola media italiana
Q1059,Ciencias naturales,scuola media italiana
Q2607241,Artes Visuales,scuola media italiana
Q349,Educación Física y Salud,scuola media italiana
Q1936199,Tecnología,scuola media italiana
Q429785,Artes Visuales,scuola media italiana
Q661953,Ciencias naturales,scuola media italiana
Q432,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q431289,Tecnología,scuola media italiana
Q376346,Tecnología,scuola media italiana
Q79460,Ciencias naturales,scuola media italiana
Q3039890,Matemática,scuola media italiana
Q2742564,Matemática,scuola media italiana
Q82580,Ciencias naturales,scuola media italiana
