id_wikidata	article	grade	subject	avg_pv	avg_pv_prev	size	size_prev	notes	notes_prev	images	images_prev	references	references_prev	incipit_size	incipit_on_size	incipit_prev	issues	issues_prev	issue_sourceNeeded	issue_clarify	discussion_size	discussion_prev	first_edit	days	all_visits	VdQ	vetrina	commonsGallerys	commonsPage	page_on_wikisource
Q19410896	A_la_deriva_(cuento)	scuola media italiana	Literatura	151	204	5023	-	4	-	0	-	0	-	148	2.95	-	0	-	0	0	0	-	2018-08-01	1613	435301	0	0			
Q455550	Acampada	scuola media italiana	Educación física y recreación	75	76	7740	-	5	-	3	-	0	-	1871	24.17	-	0	-	0	0	0	-	2005-10-26	6275	367142	0	0	Camping		
Q224055	Abstracción_(informática)	scuola media italiana	Ciencias de la computación	22	55	4492	-	0	-	0	-	0	-	2939	65.43	-	0	-	0	0	2433	-	2004-01-07	6933	371881	0	0			
Q555097	Accesibilidad	scuola media italiana	Ciencias de la computación	84	80	31312	-	5	-	6	-	0	-	2581	8.24	-	0	-	0	0	2561	-	2004-01-21	6919	410898	0	0	Accessibility		
Q8815	ASCII	scuola media italiana	Ciencias de la computación	540	632	38440	-	7	-	2	-	0	-	1901	4.95	-	0	-	0	0	18925	-	2001-10-02	7760	3270711	0	0	ASCII	ASCII	
Q20012900	Acento_léxico	scuola media italiana	Lengua española	39	31	21212	-	12	-	2	-	0	-	2082	9.82	-	0	-	0	0	5443	-	2002-02-13	7626	135132	0	0			
Q424494	Acentuación_(música)	scuola media italiana	Educación musical	57	64	12668	-	12	-	4	-	0	-	648	5.12	-	0	-	0	0	1256	-	2004-09-22	6674	289221	0	0	Articulation (music)		
Q15855125	Acentuación_del_idioma_español	scuola media italiana	Lengua española	176	176	26185	-	11	-	0	-	0	-	1805	6.89	-	0	-	0	0	14067	-	2004-04-28	6821	2300667	0	0			
Q193036	Acrobacia	scuola media italiana	Educación física y recreación	50	59	25148	-	6	-	12	-	0	-	317	1.26	-	0	-	0	0	976	-	2007-02-19	5794	254652	0	0	Acrobatics		
Q6581577	Acoso_escolar	scuola media italiana	Biología	1544	2327	26219	-	24	-	2	-	0	-	2480	9.46	-	0	-	0	0	6185	-	2006-02-02	6176	10309165	0	0	School bullying		
Q373557	Acrobacia_aérea	scuola media italiana	Educación física y recreación	14	14	9604	-	7	-	6	-	0	-	885	9.21	-	0	-	0	0	514	-	2007-11-06	5534	67679	0	0	Aerobatics		
Q747883	Actividad_física	scuola media italiana	Educación física y recreación	382	571	11888	-	7	-	2	-	0	-	975	8.2	-	0	-	0	0	290	-	2003-11-18	6983	2840503	0	0	Physical activity		
Q423488	Actuador	scuola media italiana	Tecnologías	113	182	12460	-	0	-	1	-	0	-	743	5.96	-	0	-	0	0	501	-	2007-06-25	5668	978399	0	0	Actuators		
Q344888	Acuífero_Guaraní	scuola media italiana	Geografía	255	218	9584	-	7	-	1	-	0	-	390	4.07	-	0	-	0	0	4866	-	2005-08-19	6343	1352248	0	0	Acuífero Guaraní		
Q192989	Aculturación	scuola media italiana	Historia	134	151	3047	-	1	-	1	-	0	-	1102	36.17	-	0	-	0	0	2300	-	2005-10-19	6282	937320	0	0	Acculturation		
Q483921	Adaptación_biológica	scuola media italiana	Ciencias del ambiente	308	378	38087	-	36	-	0	-	0	-	3618	9.5	-	0	-	0	0	3719	-	2004-10-25	6641	3168634	0	0			
Q12029	Adicción	scuola media italiana	Biología	315	450	36004	-	43	-	2	-	0	-	1509	4.19	-	0	-	0	0	7010	-	2004-10-06	6660	2925008	0	0			
Q32043	Adición_(matemática)	scuola media italiana	Matemática	329	398	19299	-	9	-	1	-	0	-	1711	8.87	-	0	-	0	0	10188	-	2002-10-23	7374	1985240	0	0	Addition		
Q34698	Adjetivo	scuola media italiana	Lengua española	715	974	23658	-	1	-	0	-	0	-	1933	8.17	-	0	-	0	0	4469	-	2002-02-13	7626	6972079	0	0	Adjectives		
Q131774	Adolescencia	scuola media italiana	Salud y sexualidad	982	1273	40473	-	36	-	5	-	0	-	1596	3.94	-	0	-	0	0	14793	-	2004-01-18	6922	8443785	0	0	Adolescence		
Q2875694	Aerogenerador	scuola media italiana	física	208	237	32671	-	26	-	11	-	0	-	3268	10.0	-	0	-	0	0	12416	-	2002-10-27	7370	1193412	0	0			
Q380057	Adverbio	scuola media italiana	Lengua española	971	1135	17637	-	4	-	0	-	0	-	952	5.4	-	0	-	0	0	5417	-	2004-05-23	6796	8431688	0	0			
Q2826051	Afectividad	scuola media italiana	Educación física y recreación	95	86	7303	-	8	-	3	-	0	-	861	11.79	-	0	-	0	0	2781	-	2006-02-27	6151	659690	0	0			
Q62155	Afijo	scuola media italiana	Lengua española	54	78	6687	-	0	-	1	-	0	-	1427	21.34	-	0	-	0	0	1060	-	2004-09-26	6670	459067	0	0	Affixes		
Q5653620	Agencia_de_Gobierno_electrónico_y_Sociedad_de_la_Información_y_del_Conocimiento	scuola media italiana	Ciencias del ambiente	2	1	8264	-	15	-	1	-	0	-	1275	15.43	-	0	-	0	0	4184	-	2012-06-24	3842	10889	0	0			
Q1019285	Agricultura_familiar	scuola media italiana	Geografía	13	19	14607	-	10	-	3	-	0	-	705	4.83	-	0	-	0	0	90	-	2016-06-14	2391	70847	0	0	Family farming		
Q1643366	Agricultura_extensiva	scuola media italiana	Geografía	76	125	20407	-	21	-	4	-	0	-	1623	7.95	-	0	-	0	0	85	-	2006-10-25	5911	667640	0	0	Agriculture		
Q165647	Agricultura_ecológica	scuola media italiana	Ciencias físico-químicas	98	191	53616	-	14	-	5	-	0	-	3073	5.73	-	0	-	0	0	10001	-	2002-10-01	7396	918943	0	0	Organic farming	Organic farming	
Q11451	Agricultura	scuola media italiana	Historia	1048	1379	58952	-	15	-	15	-	0	-	1385	2.35	-	0	-	0	0	6590	-	2001-09-27	7765	7525925	0	0	Agriculture	Agriculture	
Q1148482	Agricultura_intensiva	scuola media italiana	Geografía	77	110	25516	-	32	-	2	-	0	-	2823	11.06	-	0	-	0	0	1099	-	2006-02-15	6163	729378	0	0	Industrial agriculture		
Q2746959	Agroquímico	scuola media italiana	Ciencias físico-químicas	35	45	5027	-	5	-	1	-	0	-	610	12.13	-	0	-	0	0	1540	-	2007-02-15	5798	103355	0	0			
Q396338	Agroecología	scuola media italiana	Geografía	127	181	19800	-	11	-	6	-	0	-	3272	16.53	-	0	-	0	0	3689	-	2005-05-30	6424	1025187	0	0	Agroecology		
Q2088357	Agrupación_musical	scuola media italiana	Educación musical	116	132	5432	-	1	-	3	-	0	-	384	7.07	-	0	-	0	0	2639	-	2007-02-28	5785	760572	0	0	Musical groups		
Q396622	Agroindustria	scuola media italiana	Ciencias físico-químicas	149	192	26455	-	10	-	1	-	0	-	1468	5.55	-	0	-	0	0	982	-	2006-04-01	6118	1123767	0	0	Agribusiness		
Q283	Agua	scuola media italiana	Química	1953	1896	157731	-	187	-	37	-	0	-	3474	2.2	-	0	-	0	0	49048	-	2002-01-16	7654	12057258	0	1	Water	Water	
Q863944	Aguas_continentales	scuola media italiana	Geografía	170	187	28494	-	1	-	5	-	0	-	917	3.22	-	0	-	0	0	598	-	2006-03-08	6142	1525191	0	0			
Q161598	Agua_subterránea	scuola media italiana	Geografía	300	383	33629	-	13	-	6	-	0	-	3718	11.06	-	0	-	0	0	5378	-	2004-12-17	6588	2308621	0	0	Underground water		
Q183140	Agujero_de_la_capa_de_ozono	scuola media italiana	Ciencias del ambiente	237	262	24542	-	13	-	1	-	0	-	2211	9.01	-	0	-	0	0	11489	-	2004-12-12	6593	1345638	0	0	Ozone layer		
Q7892	Agua_potable	scuola media italiana	Química	251	291	36451	-	37	-	13	-	0	-	2101	5.76	-	0	-	0	0	9478	-	2005-05-10	6444	2006008	0	0	Drinking water		
Q399138	Agustín_Cuzzani	scuola media italiana	Literatura	7	7	3412	-	2	-	0	-	0	-	684	20.05	-	0	-	0	0	0	-	2007-12-06	5504	38451	0	0	Agustín Cuzzani		
Q178150	Aislamiento_eléctrico	scuola media italiana	Tecnologías	227	250	20439	-	9	-	4	-	0	-	2215	10.84	-	0	-	0	0	598	-	2003-10-14	7018	1539598	0	0			
Q15326	Alcoholismo	scuola media italiana	Biología	480	571	29073	-	28	-	8	-	0	-	2569	8.84	-	0	-	0	0	7513	-	2004-06-12	6776	5071634	0	0	Alcoholism		
Q37756	Aleación	scuola media italiana	Química	233	286	50735	-	30	-	13	-	0	-	3182	6.27	-	0	-	0	0	194	-	2003-08-31	7062	1882394	0	0	Alloys		
